KO_ID,KO_Name,Subsystems,GrRule
r_0903,phosphomethylpyrimidine kinase,,YOL055C or YPL258C or YPR121W

r_1036,thiamine-phosphate diphosphorylase,,YPL214C

r_4781,HET-P synthase (thiazole synthase),,YGR144W

r_0347,dihydroneopterin aldolase,,YNL256W

r_0561,hydroxymethylpyrimidine kinase (ATP),,YOL055C or YPL258C or YPR121W

r_0067,4-aminobenzoate synthase,,YMR289W

r_1603,4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase,,YFL058W

r_4782,adenylated thiazole synthase,,YGR144W

r_0781,nicotinamidase,,YGL037C

